Sale Date,Item Name,Quantity,Price,Coupon Code,Coupon Details,Discount Amount,Shipping Discount,Order Shipping,Order Sales Tax,Item Total,Currency,Transaction ID,Listing ID,Date Paid,Date Shipped,Order ID,Order Type,Listings Type,Payment Type,VAT Paid by Buyer
12/29/23,Simple 50/30/20 Budget Dashboard | Google Sheets,1,14.99,MATCHAWINTER2023,MATCHAWINTER2023 - % off,4.50,0.00,0,0,14.99,USD,3912014499,1496810190,12/29/2023,12/29/2023,3164946272,online,listing,online_cc,0
12/28/23,Simple 50/30/20 Budget Dashboard | Google Sheets,1,14.99,40LEMON8,40LEMON8 - % off,6.00,0.00,0,0,14.99,USD,3910326287,1509795619,12/28/2023,12/28/2023,3163622368,online,listing,online_cc,0
12/28/23,Simple 50/30/20 Budget Dashboard | Google Sheets,1,14.99,MATCHAWINTER2023,MATCHAWINTER2023 - % off,4.50,0.00,0,0,14.99,USD,3910265981,1496810190,12/28/2023,12/28/2023,3163576462,online,listing,online_cc,0
12/26/23,Ultimate Debt Dashboard | Google Sheets,1,9.00,MATCHAWINTER2023,MATCHAWINTER2023 - % off,2.70,0.00,0,0,9,USD,3907372801,1517234077,12/26/2023,12/26/2023,3161286092,online,listing,online_cc,0
12/25/23,Monthly and Annual Dashboard | Google Sheets | 9 Color Modes | Cow Theme,1,17.99,MATCHAWINTER2023,MATCHAWINTER2023 - % off,5.40,0.00,0,0,17.99,USD,3906043490,1574004518,12/25/2023,12/25/2023,3160895232,online,listing,online_cc,0
12/16/23,Monthly and Annual Dashboard | Google Sheets | 9 Color Modes | Cow Theme,1,17.99,40LEMON8,40LEMON8 - % off,7.20,0.00,0,0,17.99,USD,3894051068,1574004518,12/16/2023,12/16/2023,3151202690,online,listing,online_cc,0
12/16/23,Perwinkle Forever Calendar | Google Sheets,1,5.00,MATCHAWINTER2023,MATCHAWINTER2023 - % off,1.50,0.00,0,0,5,USD,3893681136,1514664844,12/16/2023,12/16/2023,3150901204,online,listing,online_cc,0.7
12/15/23,Savings Garden Dashboard | Google Sheets | 4 Color Modes | Grow and Harvest your Sinking Funds,1,14.99,40LEMON8,40LEMON8 - % off,15.99,0.00,0,0,14.99,USD,3891944417,1551444910,12/15/2023,12/15/2023,3141028611,online,listing,online_cc,0
12/15/23,Christmas Gifts Dashboard | Google Sheets | 5 Colors Themes and Customizable,1,8.99,40LEMON8,40LEMON8 - % off,0,0,0,0,8.99,USD,3891944415,1546432436,12/15/2023,12/15/2023,3141028611,online,listing,online_cc,0
12/15/23,Annual & Monthly Household Expense Spreadsheet | GoogleSheets | Simple and Interactive Dashboard,1,15.99,40LEMON8,40LEMON8 - % off,0,0,0,0,15.99,USD,3891944413,1501512647,12/15/2023,12/15/2023,3141028611,online,listing,online_cc,0
12/11/23,Savings Garden Dashboard | Google Sheets | 4 Color Modes | Grow and Harvest your Sinking Funds,1,14.99,40LEMON8,40LEMON8 - % off,6.00,0.00,0,0,14.99,USD,3884624227,1551444910,12/11/2023,12/11/2023,3134930293,online,listing,online_cc,0
12/10/23,Perwinkle Forever Calendar | Google Sheets,1,5.00,MATCHAWINTER2023,MATCHAWINTER2023 - % off,1.50,0.00,0,0,5,USD,3880009097,1514664844,12/10/2023,12/10/2023,3131125971,online,listing,online_cc,0
12/07/23,Ultimate Debt Dashboard | Google Sheets,1,9.00,40LEMON8,40LEMON8 - % off,3.60,0.00,0,0,9,USD,3872657533,1517234077,12/07/2023,12/07/2023,3125153625,online,listing,online_cc,0
12/06/23,Debt Payoff Dashboard | Google Sheets | Beige,1,13.00,MATCHAWINTER2023,MATCHAWINTER2023 - % off,3.90,0.00,0,0,13,USD,3871050947,1534077963,12/06/2023,12/06/2023,3132319738,online,listing,online_cc,0
12/05/23,Perwinkle Forever Calendar | Google Sheets,1,5.00,MATCHAWINTER2023,MATCHAWINTER2023 - % off,1.50,0.00,0,0,5,USD,3867092655,1514664844,12/05/2023,12/05/2023,3120641695,online,listing,online_cc,0
11/30/23,Monthly and Annual Dashboard | Google Sheets | 9 Color Modes | Coffee Theme,1,17.99,40LEMON8,40LEMON8 - % off,7.20,0.00,0,0,17.99,USD,3853005248,1544664888,11/30/2023,11/30/2023,3109605641,online,listing,online_cc,0
11/30/23,Debt Payoff Dashboard | Google Sheets | Beige,1,13.00,40LEMON8,40LEMON8 - % off,5.20,0.00,0,0,13,USD,3853002434,1534077963,11/30/2023,11/30/2023,3118302368,online,listing,online_cc,0
11/29/23,Debt Payoff Dashboard | Google Sheets | Beige,1,13.00,MATCHAWINTER2023,MATCHAWINTER2023 - % off,3.90,0.00,0,0,13,USD,3850958387,1534077963,11/29/2023,11/29/2023,3116445490,online,listing,online_cc,0
11/29/23,Monthly and Annual Dashboard | Google Sheets | 9 Color Modes | Coffee Theme,1,17.99,40LEMON8,40LEMON8 - % off,7.20,0.00,0,0,17.99,USD,3849767415,1544664888,11/29/2023,11/29/2023,3106790611,online,listing,online_cc,0
11/27/23,Randomized Seating Chart | Google Sheets,1,3.00,MATCHAWINTER2023,MATCHAWINTER2023 - % off,5.40,0.00,0,0,3,USD,3844389061,1510428634,11/27/2023,11/27/2023,3111510716,online,listing,online_cc,0
11/27/23,Simple 50/30/20 Budget Dashboard | Google Sheets,1,14.99,MATCHAWINTER2023,MATCHAWINTER2023 - % off,0,0,0,0,14.99,USD,3844389059,1496810190,11/27/2023,11/27/2023,3111510716,online,listing,online_cc,0
11/26/23,Simple 50/30/20 Budget Dashboard | Google Sheets,1,14.99,MATCHAWINTER2023,MATCHAWINTER2023 - % off,4.50,0.00,0,0,14.99,USD,3841307869,1496810190,11/26/2023,11/26/2023,3109189680,online,listing,online_cc,0
11/25/23,Monthly and Annual Dashboard | Google Sheets | 9 Color Modes | Coffee Theme,1,17.99,MATCHAWINTER2023,MATCHAWINTER2023 - % off,5.40,0.00,0,0,17.99,USD,3838550535,1544664888,11/25/2023,11/25/2023,3107148052,online,listing,online_cc,0
11/23/23,Ultimate Debt Dashboard | Google Sheets,1,9.00,MATCHAWINTER2023,MATCHAWINTER2023 - % off,2.70,0.00,0,0,9,USD,3832162156,1517234077,11/23/2023,11/23/2023,3102435928,online,listing,online_cc,0
11/23/23,Monthly and Annual Dashboard | Google Sheets | 9 Color Modes | Coffee Theme,1,17.99,MATCHAWINTER2023,MATCHAWINTER2023 - % off,5.40,0.00,0,0,17.99,USD,3831145570,1544664888,11/23/2023,11/23/2023,3101661930,online,listing,online_cc,0
11/20/23,Savings Garden Dashboard | Google Sheets | 4 Color Modes | Grow and Harvest your Sinking Funds,1,14.99,40LEMON8,40LEMON8 - % off,22.79,0.00,0,0,14.99,USD,3826009425,1551444910,11/20/2023,11/20/2023,3088507541,online,listing,online_cc,0
